gene	sample	condition	age	cpm
ENSOCUG00000000161	rabK11	control	kitten	8.18345598933677
ENSOCUG00000000161	rabK12	control	kitten	13.27229100663
ENSOCUG00000000161	rabK13	RHDV-1_12	kitten	10.1686673907637
ENSOCUG00000000161	rabK14	control	kitten	13.3069226297885
ENSOCUG00000000161	rabK1	RHDV-1_12	kitten	12.9005013334686
ENSOCUG00000000161	rabK2	control	kitten	12.5086505554268
ENSOCUG00000000161	rabK375	RHDV-2_24	kitten	20.3408875306923
ENSOCUG00000000161	rabK376	RHDV-2_24	kitten	29.5656296100907
ENSOCUG00000000161	rabK377	RHDV-2_24	kitten	12.9194852737366
ENSOCUG00000000161	rabK378	RHDV-2_24	kitten	22.2086556015465
ENSOCUG00000000161	rabK379	RHDV-2_12	kitten	5.65696601276395
ENSOCUG00000000161	rabK380	RHDV-2_12	kitten	10.7395589839503
ENSOCUG00000000161	rabK381	RHDV-2_12	kitten	13.9038113960774
ENSOCUG00000000161	rabK3	control	kitten	17.7965734288015
ENSOCUG00000000161	rabK4	RHDV-1_24	kitten	18.1658964524023
ENSOCUG00000000161	rabK5	RHDV-1_12	kitten	10.6795327861901
ENSOCUG00000000161	rabK6	RHDV-1_24	kitten	11.5795429781473
ENSOCUG00000000161	rabK7	RHDV-1_12	kitten	12.0525466099287
ENSOCUG00000000161	rabK8	RHDV-1_24	kitten	15.6479890402964
ENSOCUG00000000161	rabK9	control	kitten	14.9381732335836
ENSOCUG00000000276	rabA130	control	adult	22.6665534805816
ENSOCUG00000000276	rabA440	control	adult	27.2139640035771
ENSOCUG00000000276	rabA443	RHDV-1_24	adult	66.6701510704226
ENSOCUG00000000276	rabA444	RHDV-1_12	adult	39.7886116503071
ENSOCUG00000000276	rabA445	control	adult	31.2261409565774
ENSOCUG00000000276	rabA446	control	adult	34.4048299981025
ENSOCUG00000000276	rabA447	control	adult	48.0927822498345
ENSOCUG00000000276	rabA448	RHDV-1_24	adult	182.209039566568
ENSOCUG00000000276	rabA449	RHDV-1_24	adult	140.452959511001
ENSOCUG00000000276	rabA450	RHDV-1_24	adult	24.0679572848589
ENSOCUG00000000276	rabA451	RHDV-1_12	adult	25.1503613209683
ENSOCUG00000000276	rabA452	RHDV-1_12	adult	23.0031860095656
ENSOCUG00000000276	rabK10	RHDV-1_24	kitten	30.0134010795504
ENSOCUG00000000276	rabK11	control	kitten	24.8126582240788
ENSOCUG00000000276	rabK12	control	kitten	21.8955309261919
ENSOCUG00000000276	rabK13	RHDV-1_12	kitten	24.4415559573175
ENSOCUG00000000276	rabK14	control	kitten	22.3383358225691
ENSOCUG00000000276	rabK1	RHDV-1_12	kitten	25.5845513022817
ENSOCUG00000000276	rabK2	control	kitten	23.4152079362669
ENSOCUG00000000276	rabK375	RHDV-2_24	kitten	84.452567426857
ENSOCUG00000000276	rabK376	RHDV-2_24	kitten	91.3437166239374
ENSOCUG00000000276	rabK377	RHDV-2_24	kitten	58.9017393125197
ENSOCUG00000000276	rabK378	RHDV-2_24	kitten	98.6112588394755
ENSOCUG00000000276	rabK379	RHDV-2_12	kitten	28.5774317541351
