gene	sample	condition	age	cpm
ENSOCUG00000000061	rabA443	RHDV-1_24	adult	2.20553429817088
ENSOCUG00000000061	rabA444	RHDV-1_12	adult	1.92082952794586
ENSOCUG00000000061	rabA445	control	adult	1.75709796379455
ENSOCUG00000000061	rabA446	control	adult	1.02892949527036
ENSOCUG00000000061	rabA447	control	adult	1.45735703787377
ENSOCUG00000000061	rabA448	RHDV-1_24	adult	2.77317080583629
ENSOCUG00000000061	rabA449	RHDV-1_24	adult	1.4364507222716
ENSOCUG00000000061	rabA450	RHDV-1_24	adult	2.37459779231885
ENSOCUG00000000061	rabA451	RHDV-1_12	adult	1.33211659539027
ENSOCUG00000000061	rabA452	RHDV-1_12	adult	1.07754231816702
ENSOCUG00000000061	rabK10	RHDV-1_24	kitten	5.34411278215015
ENSOCUG00000000061	rabK11	control	kitten	3.98681189224099
ENSOCUG00000000061	rabK12	control	kitten	5.17394395173712
ENSOCUG00000000061	rabK13	RHDV-1_12	kitten	2.81782349382608
ENSOCUG00000000061	rabK14	control	kitten	3.36276023135449
ENSOCUG00000000061	rabK1	RHDV-1_12	kitten	2.51083583000396
ENSOCUG00000000061	rabK2	control	kitten	2.46475873013335
ENSOCUG00000000061	rabK375	RHDV-2_24	kitten	1.63193367008419
ENSOCUG00000000061	rabK376	RHDV-2_24	kitten	2.02735745897765
ENSOCUG00000000061	rabK377	RHDV-2_24	kitten	1.89856235205449
ENSOCUG00000000061	rabK378	RHDV-2_24	kitten	1.68978901316115
ENSOCUG00000000061	rabK379	RHDV-2_12	kitten	1.75561014189226
ENSOCUG00000000061	rabK380	RHDV-2_12	kitten	2.51915581105008
ENSOCUG00000000061	rabK381	RHDV-2_12	kitten	2.00750218018231
ENSOCUG00000000061	rabK3	control	kitten	2.38789466259868
ENSOCUG00000000061	rabK4	RHDV-1_24	kitten	2.60132168769485
ENSOCUG00000000061	rabK5	RHDV-1_12	kitten	2.36786021051274
ENSOCUG00000000061	rabK6	RHDV-1_24	kitten	2.19864740091404
ENSOCUG00000000061	rabK7	RHDV-1_12	kitten	1.98124053861842
ENSOCUG00000000061	rabK8	RHDV-1_24	kitten	1.58683832521316
ENSOCUG00000000061	rabK9	control	kitten	3.7124454189971
ENSOCUG00000000074	rabA130	control	adult	3.1410579729645
ENSOCUG00000000074	rabA440	control	adult	5.66494760890788
ENSOCUG00000000074	rabA443	RHDV-1_24	adult	6.36454183186454
ENSOCUG00000000074	rabA444	RHDV-1_12	adult	6.19369521256013
ENSOCUG00000000074	rabA445	control	adult	4.9700770975903
ENSOCUG00000000074	rabA446	control	adult	5.98065269125895
ENSOCUG00000000074	rabA447	control	adult	6.96292806984135
ENSOCUG00000000074	rabA448	RHDV-1_24	adult	8.98351106115982
ENSOCUG00000000074	rabA449	RHDV-1_24	adult	7.87387803319247
ENSOCUG00000000074	rabA450	RHDV-1_24	adult	5.4334017281872
ENSOCUG00000000074	rabA451	RHDV-1_12	adult	4.36934243288009
ENSOCUG00000000074	rabA452	RHDV-1_12	adult	8.66718821134345
ENSOCUG00000000074	rabK10	RHDV-1_24	kitten	28.4479539009407
ENSOCUG00000000074	rabK11	control	kitten	36.563261695947
ENSOCUG00000000074	rabK12	control	kitten	36.6675158318761
ENSOCUG00000000074	rabK13	RHDV-1_12	kitten	21.0111621387466
ENSOCUG00000000074	rabK14	control	kitten	14.4118295629478
ENSOCUG00000000074	rabK1	RHDV-1_12	kitten	14.1992095214017
ENSOCUG00000000074	rabK2	control	kitten	11.2146522221068
ENSOCUG00000000074	rabK375	RHDV-2_24	kitten	6.11975126281573
ENSOCUG00000000074	rabK376	RHDV-2_24	kitten	4.50523879772811
ENSOCUG00000000074	rabK377	RHDV-2_24	kitten	7.22379821757316
ENSOCUG00000000074	rabK378	RHDV-2_24	kitten	4.52622057096736
ENSOCUG00000000074	rabK379	RHDV-2_12	kitten	6.43723718693829
ENSOCUG00000000074	rabK380	RHDV-2_12	kitten	7.91103316101692
ENSOCUG00000000074	rabK381	RHDV-2_12	kitten	6.91472973173905
ENSOCUG00000000074	rabK3	control	kitten	14.8680233708974
ENSOCUG00000000074	rabK4	RHDV-1_24	kitten	10.3185760278562
ENSOCUG00000000074	rabK5	RHDV-1_12	kitten	13.8688955187175
